Sensor,Time/s,Reading
DN2 + DN4,24,913.43
DN2 + DN4,25,-1714.23
DN2 + DN4,26,206.43
DN2 + DN4,27,951.43
DN2 + DN4,28,-766.23
DN2 + DN4,29,-958.57
DN2 + DN4,30,128.77
DN2 + DN4,31,-279.9
DN2 + DN4,32,-395.9
DN2 + DN4,33,742.77
DN2 + DN4,34,-926.23
DN2 + DN4,35,561.43
DN2 + DN4,36,1044.77
DN2 + DN4,37,-1127.9
DN2 + DN4,38,-304.9
DN2 + DN4,39,-205.9
DN2 + DN4,40,-245.9
DN2 + DN4,41,-1316.57
DN2 + DN4,42,-805.9
DN2 + DN4,43,99.77
DN2 + DN4,44,-349.57
DN2 + DN4,45,757.43
DN2 + DN4,46,1576.77
DN2 + DN4,47,-19.57
DN2 + DN4,48,-2489.9
DN2 + DN4,49,-2071.57
DN2 + DN4,50,385.1
DN2 + DN4,51,154.77
DN2 + DN4,52,665.77
DN2 + DN4,53,-4889.9
DN2 + DN4,54,-2702.57
DN2 + DN4,55,1877.43
DN2 + DN4,56,2234.43
DN2 + DN4,57,3021.1
DN2 + DN4,58,322.43
DN2 + DN4,59,14.77
DN2 + DN4,60,0.43
DN2 + DN4,61,555.77
DN2 + DN4,62,-57.57
DN2 + DN4,63,10.1
DN2 + DN4,64,-183.57
DN2 + DN4,65,-36.23
DN2 + DN4,66,184.77
DN2 + DN4,67,48.1
DN2 + DN4,68,74.77
DN2 + DN4,69,185.1
DN2 + DN4,70,377.43
DN2 + DN4,71,-19.23
DN2 + DN4,72,152.43
DN2 + DN4,73,-112.23
DN2 + DN4,74,339.1
DN2 + DN4,75,-235.23
DN2 + DN4,76,-45.23
DN2 + DN4,77,50.1
DN2 + DN4,78,89.1
DN2 + DN4,79,-96.57
DN2 + DN4,80,-437.57
DN2 + DN4,81,-200.57
DN2 + DN4,82,97.77
DN2 + DN4,83,4.43
DN2 + DN4,84,74.77
DN2 + DN4,85,147.43
DN2 + DN4,86,-166.23
DN2 + DN4,87,63.1
DN2 + DN4,88,268.77
DN2 + DN4,89,259.77
DN2 + DN4,90,485.43
DN2 + DN4,91,-441.23
DN2 + DN4,92,-37.23
DN2 + DN4,93,-1521.57
DN2 + DN4,94,-290.23
DN2 + DN4,95,2253.43
DN2 + DN4,96,753.1
DN2 + DN4,97,308.9
DN2 + DN4,98,113.9
DN2 + DN4,99,127.57
DN2 + DN4,0,4282.15
DN2 + DN4,1,-5653.51
DN2 + DN4,2,-209.51
DN2 + DN4,3,232.49
DN2 + DN4,4,-326.51
DN2 + DN4,5,-41.85
DN2 + DN4,6,-261.18
DN2 + DN4,7,-109.18
DN2 + DN4,8,-144.51
DN2 + DN4,9,40.82
DN2 + DN4,10,55.82
DN2 + DN4,11,-155.18
DN2 + DN4,12,359.49
DN2 + DN4,13,-1214.18
DN2 + DN4,14,-378.51
DN2 + DN4,15,-58.85
DN2 + DN4,16,-353.18
DN2 + DN4,17,-1411.85
DN2 + DN4,18,-1329.18
DN2 + DN4,19,390.49
DN2 + DN4,20,991.49
DN2 + DN4,21,-283.85
DN2 + DN4,22,346.15
DN2 + DN4,23,-1138.51
DN2 + DN4,24,-1459.51
DN2 + DN4,25,-179.18
DN2 + DN4,26,-385.51
DN2 + DN4,27,5.82
DN2 + DN4,28,-1420.85
DN2 + DN4,29,137.15
DN2 + DN4,30,-396.18
DN2 + DN4,31,801.49
DN2 + DN4,32,2079.82
DN2 + DN4,33,1554.82
DN2 + DN4,34,189.49
DN2 + DN4,35,-1522.51
DN2 + DN4,36,-1662.85
DN2 + DN4,37,-1230.85
DN2 + DN4,38,207.82
DN2 + DN4,39,-997.51
DN2 + DN4,40,-703.51
DN2 + DN4,41,1201.82
DN2 + DN4,42,1456.49
DN2 + DN4,43,1080.49
DN2 + DN4,44,800.49
DN2 + DN4,45,-323.51
DN2 + DN4,46,-1333.85
DN2 + DN4,47,-1372.51
DN2 + DN4,48,935.15
DN2 + DN4,49,937.82
DN2 + DN4,50,998.82
DN2 + DN4,51,-1241.51
DN2 + DN4,52,-792.18
DN2 + DN4,53,-1858.18
DN2 + DN4,54,-786.51
DN2 + DN4,55,610.82
DN2 + DN4,56,-312.18
DN2 + DN4,57,-656.18
DN2 + DN4,58,-554.18
DN2 + DN4,59,785.82
DN2 + DN4,60,506.82
DN2 + DN4,61,-1069.51
DN2 + DN4,62,11.15
DN2 + DN4,63,939.15
DN2 + DN4,64,992.82
DN2 + DN4,65,67.82
DN2 + DN4,66,-52.85
DN2 + DN4,67,2376.82
DN2 + DN4,68,-201.85
DN2 + DN4,69,-3310.85
DN2 + DN4,70,1710.49
DN2 + DN4,71,5.15
DN2 + DN4,72,-245.51
DN2 + DN4,73,-325.85
DN2 + DN4,74,-251.85
DN2 + DN4,75,-214.51
DN2 + DN4,76,-276.18
DN2 + DN4,77,-83.85
DN2 + DN4,78,170.15
DN2 + DN4,79,103.49
DN2 + DN4,80,-57.18
DN2 + DN4,81,-397.18
DN2 + DN4,82,-31.18
DN2 + DN4,83,162.82
DN2 + DN4,84,108.82
DN2 + DN4,85,50.82
DN2 + DN4,86,-241.85
DN2 + DN4,87,-198.18
DN2 + DN4,88,105.15
DN2 + DN4,89,-142.51
DN2 + DN4,90,-108.18
DN2 + DN4,91,-49.51
DN2 + DN4,92,36.15
DN2 + DN4,93,-172.85
DN2 + DN4,94,-50.18
DN2 + DN4,95,-70.18
DN2 + DN4,96,-85.51
DN2 + DN4,97,-49.51
DN2 + DN4,98,-310.18
DN2 + DN4,99,-162.18
DN2 + DN4,0,3292.87
DN2 + DN4,1,-2487.46
DN2 + DN4,2,-2354.13
DN2 + DN4,3,-27.79
DN2 + DN4,4,59.87
DN2 + DN4,5,-42.13
DN2 + DN4,6,-121.79
DN2 + DN4,7,-747.79
DN2 + DN4,8,-238.13
DN2 + DN4,9,-2518.46
DN2 + DN4,10,-1858.46
DN2 + DN4,11,-488.79
DN2 + DN4,12,-109.46
DN2 + DN4,13,1186.87
DN2 + DN4,14,1592.21
DN2 + DN4,15,1357.87
DN2 + DN4,16,619.54
DN2 + DN4,17,720.54
DN2 + DN4,18,41.87
DN2 + DN4,19,-1128.46
DN2 + DN4,20,-518.46
DN2 + DN4,21,-1929.79
DN2 + DN4,22,-170.46
DN2 + DN4,23,366.87
DN2 + DN4,24,-159.46
DN2 + DN4,25,2088.21
DN2 + DN4,26,2214.87
DN2 + DN4,27,-600.13
DN2 + DN4,28,-1972.46
